Provincia,Localidad,Playa,Foto,Resumen,latitude,longitude
Málaga,Rincón de la Victoria,Cala del Moral,http://www.playas.es/images/cala-del-moral-s-220-playa-cala-del-moral-1082480.jpg,1.300 metros 40 metros de anchura. El grado de ocupación de esta playa es alto.,36.713998,-4.307576
Málaga,Benalmádena,Malapesquera–Santa Ana,http://www.playas.es/images/70505-018-benalmadena-puerto-s-220-playa-malapesquera-malapesca-torre-bermeja-2386161.jpg,700 metros 50 metros de anchura. El grado de ocupación de esta playa es alto.,36.599267,-4.509621
Málaga,Benalmádena,Carvajal,http://www.playas.es/images/fuengirola--carvajal-1970-s-220-playa-carvajal-5497720.jpg,450 metros 25 metros de anchura. El grado de ocupación de esta playa es alto.,36.572363,-4.587899
Málaga,Marbella,Artola (Cabo Pino),http://www.playas.es/images/cabopino-s-220-playa-artola-cabo-pino-22341916.jpg,1.200 metros 30 metros de anchura. El grado de ocupación de esta playa es medio.,36.484314,-4.741739
Málaga,Marbella,Venus-Bajadilla,http://www.playas.es/images/200508--marbella-beach-s-220-playa-la-venus-161686.jpg,400 metros 50 metros de anchura. El grado de ocupación de esta playa es alto.,36.508532,-4.877346
Málaga,Marbella,Guadalmina-San Pedro,http://www.playas.es/images/playa-marbella--san-pedro-de-alc%C3%83%C2%A1ntara-s-220-playa-san-pedro-de-alcantara-1897745.jpg,1.400 metros 35 metros de anchura. El grado de ocupación de esta playa es alto.,36.507472,-4.861108
Málaga,Marbella,El Cable-Rio Real,http://www.playas.es/images/amanece-en-marbella2-s-220-playa-el-cable-3214741.jpg,400 metros 50 metros de anchura. El grado de ocupación de esta playa es alto.,36.507127,-4.871558
Málaga,Marbella,Puerto Banús,http://www.playas.es/images/mediterr%C3%83%C2%A1neo-s-220-playa-rio-verde-puerto-banus-10670345.jpg,1.500 metros 40 metros de anchura. El grado de ocupación de esta playa es alto.,36.490179,-4.948165
Málaga,Marbella,Río Verde,http://www.playas.es/images/mediterr%C3%83%C2%A1neo-s-220-playa-rio-verde-puerto-banus-10670345.jpg,1.500 metros 40 metros de anchura. El grado de ocupación de esta playa es alto.,36.495286,-4.943264
Málaga,Marbella,Faro,http://www.playas.es/images/playa-de-marbella-s-220-playa-el-faro-3063715.jpg,200 metros 30 metros de anchura. El grado de ocupación de esta playa es alto.,36.506523,-4.89057
Málaga,Estepona,El Cristo,http://www.playas.es/images/estepona--spain-s-220-playa-el-cristo-30061129.jpg,1.300 metros 25 metros de anchura. El grado de ocupación de esta playa es alto.,36.415817,-5.17409
Málaga,Estepona,El Padrón,http://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Playa_en_Estepona.jpg/220px-Playa_en_Estepona.jpg,"1.400 metros. 25 metros de anchura. El grado de ocupación es medio. El Padrón es la prolongación natural de la playa del Velerín, tras cruzar el río Castor.",36.43936  ,-5.10186 
Málaga,Estepona,La Rada,http://www.playas.es/images/vista-de-gibraltar-desde-estepona-s-220-playa-la-rada-8684929.jpg,2.300 metros 50 metros de anchura. El grado de ocupación de esta playa es alto.,36.424321,-5.14414
Málaga,Manilva,Sabinillas,http://www.playas.es/images/sabinillas-s-220-playa-sabinillas-671162.jpg,1.700 metros 50 metros de anchura. El grado de ocupación de esta playa es alto.,36.366287,-5.224196
Cádiz,San Roque,Torreguadiaro,http://www.playas.es/images/torreguadiaro-cadiz-s-220-playa-torreguadiaro-750660.jpg,1.300 metros. 30 metros de anchura. El grado de ocupación de esta playa es alto. Puerto Deportivo Sotogrande / Distancia: 1 Km,36.293786,-5.271658
Cádiz,San Roque,Cala Sardina,http://www.esacademic.com/pictures/eswiki/50/200px-Punta_Chullera.jpg,"También conocido como Playa El Cabrero o Cala Taraje, se trata de una playa vírgen con arena oscura",36.310448,-5.258642
Cádiz,La Línea de la Concepción,La Alcaidesa,http://www.playas.es/images/faro-al-atardecer-s-220-playa-la-alcaidesa-25306233.jpg,4.300 metros 60 metros de anchura. El grado de ocupación de esta playa es bajo. Puerto Deportivo Sotogrande / Distancia: 9 Km,36.234452,-5.31393
Cádiz,Algeciras,Getares,http://www.playas.es/images/rinconcillo-s-220-playa-getares-san-garcia-294131.jpg,1.500 metros 40 metros de anchura. El grado de ocupación de esta playa es alto. Puerto Deportivo de Algeciras / Distancia: 5 Km,36.166445,-5.43744
Cádiz,Barbate,Zahara de los Atunes,http://www.playas.es/images/playa-atlanterra-s-220-playa-zahara-de-los-atunes-5291413.jpg,1.600 metros 70 metros de anchura. El grado de ocupación de esta playa es medio. Puerto Deportivo de Barbate / Distancia: 8 Km,36.135223,-5.84844
Cádiz,Conil de la Frontera,Los Bateles,http://www.playas.es/images/conil--03-s-220-playa-los-bateles-459171.jpg,850 metros 130 metros de anchura. El grado de ocupación de esta playa es medio. Puerto Deportivo Puerto Conil / Distancia: 12 Km,36.264959,-6.087983
Cádiz,Conil de la Frontera,El Roche,http://www.playas.es/images/cabo-roche-***rsh***-s-220-playa-roche-11851357.jpg,2.200 metros 40 metros de anchura. El grado de ocupación de esta playa es medio. Puerto Deportivo Puerto Conil / Distancia: 7 Km,36.318021,-6.155661
Cádiz,Cádiz,La Cortadura (Poniente),http://www.playas.es/images/atardecer-en-la-playa-de-la-victoria-s-220-playa-cortadura-4636417.jpg,2.500 metros 40 metros de anchura. El grado de ocupación de esta playa es medio. Puerto Deportivo Elcano / Distancia: 1 Km,36.490317,-6.268928
Cádiz,Cádiz,La Victoria,http://www.playas.es/images/c%C3%83%C2%A1diz--atlantic-beach-s-220-playa-la-victoria-37701323.jpg,2.900 metros 45 metros de anchura. El grado de ocupación de esta playa es alto. Puerto Deportivo Elcano / Distancia: 1 Km,36.509912,-6.282145
Cádiz,Cádiz,La Caleta,"http://maps.google.com/maps/api/staticmap?center=36.5282,-6.31023&zoom=15&size=220x150&maptype=satellite&sensor=false",450 metros 25 metros de anchura. El grado de ocupación de esta playa es alto. La Caleta es una cala con unos paisajes y monumentos históricos de gran relevancia.,36.529416,-6.305982
Cádiz,Cádiz,Santa María del Mar,http://www.playas.es/images/alvaro-siza-36-viviendas-sociales-en-concepci%C3%83%C2%B3n-arenal-c%C3%83%C2%A1diz-s-220-playa-santa-maria-del-mar-27692817.jpg,900 metros 30 metros de anchura. El grado de ocupación de esta playa es alto. Puerto América / Distancia: 2 Km,36.520139,-6.286745
Cádiz,El Puerto de Santa María,Fuentebravía,http://www.playas.es/images/puesta-de-sol-en-fuentebrav%C3%83%C2%ADa-s-220-playa-fuentebravia-13746000.jpg,700 metros 40 metros de anchura. El grado de ocupación de esta playa es alto. Esta playa tiene vistas a uno de los espigones de la Base Naval.,36.612884,-6.290136
Cádiz,El Puerto de Santa María,La Muralla,http://www.andaluciadeviaje.es/visitfotos/400px/2009-12-28d8f989.jpg,800 metros. 15 metros de ancho. La más resguardada de las playas de El Puerto. El grado de ocupación es alto,36.580078,-6.265805
Cádiz,El Puerto de Santa María,La Puntilla,http://imageseu.homeaway.es/vd2/files/HR/400x300/am/1147014/827170_1311954600622.jpg,"1.300 metros 70 metros de anchura. El grado de ocupación de esta playa es medio. Puerto Sherry / Distancia: 0,3 Km",36.585691,-6.238825
Cádiz,El Puerto de Santa María,Santa Catalina (tramo Vistahermosa-La Redes),http://www.playas.es/images/**_tanta-vida-como-mar-por-delante_**-s-220-playa-santa-catalina-20995250.jpg,3.000 metros 40 metros de anchura. El grado de ocupación de esta playa es alto. Esta playa se encuentra rodeada de una lujosa urbanización ,36.59105,-6.271393
Cádiz,El Puerto de Santa María,Valdelagrana,http://www.playas.es/images/cadiz-playa-de-valdelagrana-2-s-220-playa-valdelagrana-17779875.jpg,1.880 metros 85 metros de anchura. El grado de ocupación de esta playa es alto. Puerto Sherry / Distancia: 7 Km,36.569218,-6.223952
Cádiz,Chiclana de la Frontera,La Barrosa,http://www.playas.es/images/tronco-playa-camposoto-s-220-playa-la-barrosa-2061376.jpg,4.000 metros 60 metros de anchura. El grado de ocupación de esta playa es alto. Puerto Deportivo de Sancti-Petri / Distancia: 5 Km,36.407952,-6.219905
Cádiz,Chiclana de la Frontera,Sancti Petri,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Ca%C3%B1o_de_Sancti_Petri_-_Desembocadura.jpg/230px-Ca%C3%B1o_de_Sancti_Petri_-_Desembocadura.jpg,Esta playa es famosa por su naturalidad al encontrarse en un parque natural. Su extensión es de 1.200 metros por 40 metros de ancho. El nivel medio de ocupación es medio. ,36.381076,-6.203512
Cádiz,Rota,Rompidillo-Chorrillo,http://www.playas.es/images/rota-s-220-playa-el-rompidillo-el-chorrillo-el-gordillo-9387621.jpg,"1.700 metros 45 metros de anchura. El grado de ocupación de esta playa es medio. Puerto Deportivo de Rota / Distancia: 0,1 Km",36.626059,-6.344971
Cádiz,Rota,La Ballena,http://www.lacostadecadiz.com/cache/preview/515a261cd1cc80ade649df977c1f8e81.JPG,4.500 metros 30 metros de anchura. El grado de ocupación de esta playa es medio. Puerto Deportivo de Rota / Distancia: 6 Km,36.67816,-6.413508
Cádiz,Rota,Puntalillo,http://www.lacostadecadiz.com/cache/preview/609fbcc13ef8472bcd68b4d93c726124.JPG,"La playa de Puntalillo posee una longitud aproximada de 1.457 metros, que se extienden desde el Centro de Interpretación del Litoral hasta el Hotel Playa de la Luz. ",36.632094,-6.391989
Cádiz,Rota,La Costilla,http://www.lacostadecadiz.com/cache/preview/78fda3909edb818c0da1342ca4090f1e.JPG,"1.300 metros 50 metros de anchura. El grado de ocupación de esta playa es alto. Puerto Deportivo de Rota / Distancia: 0,5 Km",36.620238,-6.365238
Cádiz,Rota,Punta Candor,http://www.lacostadecadiz.com/cache/preview/29a0ff1b571d73f2c3773ce92977b9ca.JPG,1.500 metros 35 metros de anchura. El grado de ocupación de esta playa es medio. Puerto Deportivo de Rota / Distancia: 4 Km,36.634333,-6.393982
Cádiz,Rota,Galeones,http://www.lacostadecadiz.com/cache/preview/c7751cfd5d291dc2924db9c79bcd19b1.JPG,"420 metros. 20 metros de anchura. Describe un breve arco sobre la costa de Rota. Se accede a través de una larguísima rampa, ya que la playa está bajo un acantilado.",36.625508,-6.347106
Cádiz,Chipiona,Cruz del Mar-Las Canteras,http://www.playas.es/images/faro-de-chipiona-s-220-playa-las-canteras-15070093.jpg,400 metros 10 metros de anchura. El grado de ocupación de esta playa es alto.,36.736098,-6.442372
Cádiz,Chipiona,Camarón-La Laguna,http://www.playas.es/images/de-agustico-en-las-playas-de-cadiz-dedicado-a-la-gaditana-salerosa-maria-jos%C3%83%C2%A9!-:d-s-220-playa-camaron-tres-piedras-12840954.jpg,1.500 metros 45 metros de anchura. El grado de ocupación de esta playa es medio.,36.704451,-6.429923
Huelva,Almonte,Matalascañas (Torrelahiguera),"http://maps.google.com/maps/api/staticmap?center=37.2625,-6.51724&zoom=15&size=220x150&maptype=satellite&sensor=false",4.200 metros 40 metros de anchura. El grado de ocupación de esta playa es alto.,36.957094,-6.496109
Huelva,Moguer,Playa Castilla (El Parador),http://www.playas.es/images/playa-de-mazagon-s-220-playa-el-parador-302514.jpg,500 metros 30 metros de anchura. El grado de ocupación de esta playa es medio.,37.12692,-6.812973
Huelva,Punta Umbría,Punta Umbría,http://www.playas.es/images/conchas-en-la-playa-punta-umbria-s-220-playa-punta-umbria-4168570.jpg,3.800 metros 50 metros de anchura. El grado de ocupación de esta playa es alto.,37.209277,-7.053074
Huelva,Punta Umbría,La Bota (Levante),http://www.playas.es/images/a%C2%A1que-p%C3%83%C2%A1z!-s-220-playa-la-bota-9439671.jpg,3.800 metros 35 metros de anchura. El grado de ocupación de esta playa es alto.,37.19898,-7.014697
Huelva,Punta Umbría,El Portil,http://www.playas.es/images/el-portil-balc%C3%83%C2%B3n-de-rub%C3%83%C2%A9n-s-220-playa-el-portil-159827.jpg,3.600 metros 40 metros de anchura. El grado de ocupación de esta playa es alto.,37.208841,-7.051046
Huelva,Isla Cristina,Playa Central,http://www.playas.es/images/isla-cristina-playa-s-220-playa-central-4109612.jpg,1.500 metros 50 metros de anchura. El grado de ocupación de esta playa es alto.,37.195000,-7.306944
Huelva,Isla Cristina,La Gaviota,http://2.bp.blogspot.com/-OqgYYboh6Pk/UEDpsQ2zmoI/AAAAAAAALpQ/kMZXdhliLys/s400/IslaCristinaLaGaviota18.jpg,"1.000 metros. 75 metros de anchura. Un terreno de marismas e islitas lleno de recovecos para la pesca, el baño o la fauna y flora",37.184288,-7.331149
Huelva,Isla Cristina/Lepe,Islantilla,http://www.playas.es/images/20051003-isla-cristina-s-220-playa-islantilla-2803806.jpg,1.200 metros 50 metros de anchura. El grado de ocupación de esta playa es medio.,37.203859,-7.236333
